id,condition,angle,rt,accuracy,trial
2,egocentric,-90,666.965,1,52
2,egocentric,180,1383.3,1,53
2,egocentric,-135,2040.7,1,54
2,egocentric,45,1780.815,1,55
2,egocentric,180,1640.14,1,56
2,egocentric,180,1475.58,1,57
2,egocentric,90,1055.195,1,58
2,egocentric,90,818.175,1,59
2,egocentric,0,867.77,1,60
2,egocentric,0,1233.915,1,61
2,egocentric,-45,600.91,1,62
2,egocentric,-90,684.58,1,63
2,egocentric,45,584.21,1,64
2,egocentric,-135,1042.135,1,65
2,egocentric,-45,1240.075,1,66
2,egocentric,-90,789.665,1,67
2,egocentric,180,1100.83,1,68
2,egocentric,-90,1437.62,1,69
2,egocentric,0,810.505,1,70
2,egocentric,-135,1133.78,1,71
2,egocentric,-135,1325.725,1,72
2,egocentric,-45,758.595,1,73
2,egocentric,135,735.75,1,74
2,egocentric,-45,853.815,1,75
2,egocentric,0,617.795,1,76
2,egocentric,135,700.65,1,77
2,egocentric,45,556.295,1,78
2,egocentric,90,656.5,1,79
2,egocentric,-135,701.69,1,80
2,egocentric,180,1019.095,1,81
2,egocentric,90,1068.22,1,82
2,egocentric,0,619.19,1,83
2,egocentric,-135,950.77,1,84
2,egocentric,-135,702.285,1,85
2,egocentric,0,601.65,1,86
2,egocentric,90,692.635,1,87
2,egocentric,180,1285.53,1,88
2,egocentric,-90,1050.84,1,89
2,egocentric,0,783.755,1,90
2,egocentric,-45,684.28,1,91
2,egocentric,135,1051.02,1,92
2,egocentric,45,684.62,1,93
2,egocentric,0,784.27,1,94
2,egocentric,135,842.36,1,95
2,egocentric,0,703.855,1,96
2,egocentric,180,1123.52,1,97
2,egocentric,90,883.885,1,98
2,egocentric,135,1568.87,1,99
2,egocentric,-135,903.755,1,100
2,egocentric,135,772.325,1,101
2,egocentric,180,1358.76,1,102
2,egocentric,-135,917.485,1,103
2,egocentric,135,1268.26,1,104
2,egocentric,-45,716.76,1,105
2,egocentric,45,820,1,106
2,egocentric,45,757.395,1,107
2,egocentric,-45,721.935,1,108
2,egocentric,-90,1085.055,1,109
2,egocentric,45,1434.365,1,110
2,allocentric,-90,1196.24,1,0
2,allocentric,135,1305.925,1,1
2,allocentric,135,1484.095,1,2
2,allocentric,90,1358.45,1,3
2,allocentric,0,949.94,1,4
2,allocentric,90,1678.895,1,5
2,allocentric,180,1808.975,1,6
2,allocentric,45,1241.035,1,7
2,allocentric,-135,2279.125,1,8
2,allocentric,-135,4879.29,1,9
2,allocentric,0,968.335,1,10
2,allocentric,-135,2578.645,1,11
2,allocentric,-90,1374.565,1,12
2,allocentric,-45,1410.67,1,13
2,allocentric,-90,1283.53,1,14
2,allocentric,0,1318.575,1,15
2,allocentric,0,865.4,1,16
2,allocentric,-90,1159.855,1,17
2,allocentric,180,1642.04,1,18
2,allocentric,135,1319.02,1,19
2,allocentric,45,1022.05,1,20
2,allocentric,90,1148.1,1,21
2,allocentric,135,4621.9,1,22
2,allocentric,180,2518.71,1,23
2,allocentric,-45,1396.41,1,24
2,allocentric,-45,1558.155,1,25
2,allocentric,-45,1241.77,1,26
2,allocentric,135,1180.615,1,27
2,allocentric,45,1026.69,1,28
2,allocentric,-135,1376.585,1,29
2,allocentric,-90,1123.08,1,30
2,allocentric,-135,1640.12,1,31
2,allocentric,180,1862.28,1,32
2,allocentric,0,1019.655,1,33
2,allocentric,45,1201.295,1,34
2,allocentric,90,1517.83,1,35
2,allocentric,90,1459.68,1,36
2,allocentric,180,2034.39,1,37
2,allocentric,-45,1160.44,1,38
2,allocentric,0,950.85,1,39
2,allocentric,-90,1768,1,40
2,allocentric,90,1200.965,1,41
2,allocentric,-45,1017.895,1,42
2,allocentric,180,1918.04,1,43
2,allocentric,-90,1109.73,1,44
2,allocentric,180,1484.795,1,45
2,allocentric,135,1800.915,1,46
2,allocentric,0,1221.21,1,47
2,allocentric,-135,1037.745,1,48
2,allocentric,-90,1284.645,1,49
2,allocentric,-45,866.42,1,50
2,allocentric,135,1701.11,1,51
2,allocentric,-135,2137.415,1,52
2,allocentric,180,1308.97,1,53
2,allocentric,90,1071.95,1,54
2,allocentric,135,1325.615,1,55
2,allocentric,-90,1037.995,1,56
2,allocentric,45,1034.91,1,57
2,allocentric,-90,1605.01,1,58
2,allocentric,-45,1251.26,1,59
2,allocentric,180,1839.135,1,60
2,allocentric,45,1018,1,61
2,allocentric,90,1337.33,1,62
2,allocentric,0,934.35,1,63
2,allocentric,-90,903.69,1,64
2,allocentric,-135,1134.22,1,65
2,allocentric,180,2007.36,1,66
2,allocentric,-45,1006.425,1,67
2,allocentric,45,1601.12,1,68
2,allocentric,-135,2268.43,1,69
2,allocentric,-45,2322.265,1,70
2,allocentric,45,1250.665,1,71
2,allocentric,-135,3219.375,1,72
2,allocentric,0,769.225,1,73
2,allocentric,-45,940.61,1,74
2,allocentric,-135,1418.375,1,75
2,allocentric,135,1785.025,1,76
2,allocentric,90,1817.865,1,77
2,allocentric,180,1885.25,1,78
2,allocentric,45,1251.27,1,79
2,allocentric,-45,1272.85,1,80
2,allocentric,135,1387.715,1,81
2,allocentric,135,1089.5,1,82
2,allocentric,45,1702.1,1,83
2,allocentric,90,1818.985,1,84
2,allocentric,-90,1187.36,1,85
2,allocentric,-45,984.18,1,86
2,allocentric,0,901.85,1,87
2,allocentric,-90,1122.12,1,88
2,allocentric,45,985.67,1,89
2,allocentric,-90,1586.45,1,90
2,allocentric,135,1224.165,1,91
2,allocentric,135,1524.23,1,92
2,allocentric,45,1250.88,1,93
2,allocentric,0,790.885,1,94
2,allocentric,90,1218.115,1,95
2,allocentric,0,801.295,1,96
2,allocentric,90,1050.975,1,97
2,allocentric,0,884.275,1,98
2,allocentric,135,1394.03,1,99
2,allocentric,-135,1302.29,1,100
2,allocentric,90,1372.41,1,101
2,allocentric,180,1507.3,1,102
2,allocentric,180,1426.12,1,103
2,allocentric,0,959.52,1,104
2,allocentric,45,1157.895,1,105
2,allocentric,90,1051.665,1,106
2,allocentric,180,2427.345,1,107
2,allocentric,-135,1393.03,1,108
2,allocentric,-45,1100.905,1,109
2,allocentric,45,923.4,1,110
3,allocentric,180,2346,1,0
3,allocentric,135,1502,1,1
3,allocentric,90,1324,1,2
3,allocentric,90,1976,1,3
3,allocentric,135,2897,1,4
3,allocentric,45,1459,1,5
3,allocentric,90,1994,1,6
3,allocentric,135,2492,1,7
3,allocentric,-135,1853,1,8
3,allocentric,-45,1458,1,9
3,allocentric,0,1307,1,10
3,allocentric,135,2883,1,11
3,allocentric,180,1122,0,12
3,allocentric,-90,2955,1,13
3,allocentric,-135,2059,1,14
3,allocentric,0,1240,1,15
3,allocentric,-45,1017,1,16
3,allocentric,45,1749,1,17
3,allocentric,90,1312,1,18
3,allocentric,135,3663,1,19
3,allocentric,45,2287,0,20
3,allocentric,45,3171,1,21
3,allocentric,90,4689,1,22
3,allocentric,-135,3305,1,23
3,allocentric,45,1642,1,24
3,allocentric,90,2824,1,25
3,allocentric,-135,3564,1,26
3,allocentric,-135,2259,1,27
3,allocentric,135,3752,1,28
3,allocentric,-90,1541,1,29
3,allocentric,45,1561,1,30
3,allocentric,45,1761,1,31
3,allocentric,0,949,1,32
3,allocentric,180,3959,1,33
3,allocentric,180,2802,1,34
3,allocentric,45,2183,1,35
3,allocentric,-45,2864,1,36
3,allocentric,180,2563,1,37
3,allocentric,90,1771,1,38
3,allocentric,-135,2055,1,39
3,allocentric,-135,2129,1,40
3,allocentric,90,3368,1,41
3,allocentric,0,1820,1,42
3,allocentric,-45,1770,1,43
3,allocentric,0,1909,1,44
3,allocentric,-135,5838,1,45
3,allocentric,180,4153,1,46
3,allocentric,90,1783,1,47
3,allocentric,45,2452,1,48
3,allocentric,0,1536,1,49
3,allocentric,0,937,1,50
3,allocentric,45,1644,1,51
3,allocentric,-90,1384,1,52
3,allocentric,90,2003,1,53
3,allocentric,-45,1279,1,54
3,allocentric,180,5574,1,55
3,allocentric,135,5274,1,56
3,allocentric,180,3359,1,57
3,allocentric,-45,1132,1,58
3,allocentric,-45,1673,1,59
3,allocentric,180,4686,1,60
3,allocentric,-90,3255,1,61
3,allocentric,45,2030,1,62
3,allocentric,-135,3636,1,63
3,allocentric,135,5037,1,64
3,allocentric,90,1677,1,65
3,allocentric,-90,2157,1,66
3,allocentric,0,1669,1,67
3,allocentric,-135,1808,1,68
3,allocentric,-90,2208,1,69
3,allocentric,135,3307,1,70
3,allocentric,0,1505,1,71
3,allocentric,-90,1396,1,72
3,allocentric,-90,1886,1,73
3,allocentric,45,1106,1,74
3,allocentric,90,1629,1,75
3,allocentric,135,2103,1,76
3,allocentric,-135,3491,1,77
