cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,left,,,,,0,54,54,45,0.012493359972722828,1.0124933599727228,518.9250996999908,None,519.7281773000141,None,520.7282498999848,None,525.2289410000085,None,525.2289410000085,None,f,0.8280917000374757,525.2289410000085,None,526.0798656999832,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,55,55,58,0.01273026003036648,1.0127302600303665,527.5743132000207,None,528.3782043000101,None,529.3778079000185,None,532.7824237999739,None,532.7824237999739,None,j,0.317771400033962,532.7824237999739,None,533.1371448999853,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,,,,,0,56,56,11,0.012379360035993159,1.0123793600359932,534.6233158999821,None,534.9792297999957,None,535.9777415000135,None,540.9789921999909,None,540.9789921999909,None,f,0.30053899995982647,540.9789921999909,None,541.3102206999902,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,57,57,55,0.011070760025177151,1.0110707600251772,542.7926078999881,None,542.894309299998,None,543.8946548000094,None,548.8957913999911,None,548.8957913999911,None,f,0.2695814000326209,548.8957913999911,None,549.1816935999668,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,right,,,,,0,58,58,70,0.012132360017858446,1.0121323600178584,550.6744905000087,None,551.4776836999808,None,552.4776868000044,None,555.8785696999985,None,555.8785696999985,None,f,0.9642164999968372,555.8785696999985,None,556.87384439999,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,,,,,0,59,59,10,0.012881060014478862,1.0128810600144789,558.3569362999988,None,559.1635724999942,None,560.1612158999778,None,565.1652769999928,None,565.1652769999928,None,j,0.7723777999635786,565.1652769999928,None,565.9614068000228,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
right,right,,,,,0,60,60,22,0.01269906002562493,1.012699060025625,567.4393160999753,None,568.644215599983,None,569.6444612999912,None,573.0453299999936,None,573.0453299999936,None,f,0.76253030000953,573.0453299999936,None,573.8296429999755,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,61,61,43,0.012768259970471263,1.0127682599704713,575.3239924000227,None,575.4276537999976,None,576.4274215999758,None,579.828820499999,None,579.828820499999,None,f,0.6816119999857619,579.828820499999,None,580.5394709999673,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,,,,,0,62,62,3,0.012677759979851544,1.0126777599798515,582.022622599965,None,583.2333988000173,None,584.2276445999742,None,588.2281185999746,None,588.2281185999746,None,f,0.6656325000221841,588.2281185999746,None,588.914002400008,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,right,,,,,0,63,63,71,0.01214656000956893,1.012146560009569,590.4074486999889,None,590.5138293000055,None,591.5106705999933,None,596.5115009999718,None,596.5115009999718,None,f,0.8989106999943033,596.5115009999718,None,597.4397213999764,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
