cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate
none,left,,,,,0,45,45,56,0.032110801,2.032110801,502.9865032,None,503.0884636,None,504.120385,None,509.1275538,None,509.1275538,None,f,509.1275538,None,509.8398592,None,0.65018184,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,46,46,57,0.032493832,2.032493832,512.307725,None,512.4096247,None,513.4415246,None,517.4480953,None,517.4480953,None,f,517.4480953,None,518.1282963,None,0.62468392,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,47,47,77,0.032123337,2.032123337,520.5948961,None,521.3971725,None,522.4291135,None,526.4357698,None,526.4357698,None,j,526.4357698,None,527.2681807,None,0.792891212,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,48,48,51,0.032116016,2.032116016,529.76592,None,530.9684652,None,532.0003018,None,536.5068877,None,536.5068877,None,f,536.5068877,None,537.1858472,None,0.619375239,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,49,49,29,0.03211692,2.03211692,539.6536951,None,540.4566846,None,541.4879171,None,545.494473,None,545.494473,None,j,545.494473,None,546.0951991,None,0.542760583,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,50,50,16,0.032123902,2.032123902,548.591529,None,548.960691,None,549.9922174,None,553.9987149,None,553.9987149,None,j,553.9987149,None,554.7124644,None,0.674662629,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,51,51,44,0.032133286,2.032133286,557.2125902,None,558.0144906,None,559.0464959,None,563.0521164,None,563.0521164,None,f,563.0521164,None,564.1000475,None,1.000110501,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,52,52,79,0.032113721,2.032113721,566.6001296,None,567.8025437,None,568.8344296,None,572.8409985,None,572.8409985,None,j,572.8409985,None,573.7198237,None,0.801909561,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,53,53,76,0.032127512,2.032127512,576.1878541,None,576.2900167,None,577.3218225,None,580.7277914,None,580.7277914,None,j,580.7277914,None,581.4105885,None,0.617473719,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,54,54,5,0.032126838,2.032126838,583.9084633,None,585.1102471,None,586.109283,None,590.1159163,None,590.1159163,None,f,590.1159163,None,591.2504083,None,1.078266736,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,55,55,8,0.032075891,2.032075891,593.7462231,None,594.5488053,None,595.5803301,None,600.5871694,None,600.5871694,None,f,600.5871694,None,601.282976,None,0.646574849,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,56,56,17,0.032104293,2.032104293,603.751098,None,603.8532949,None,604.8838374,None,608.8885024,None,608.8885024,None,j,608.8885024,None,609.9738838,None,1.032761936,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,57,57,74,0.032385951,2.032385951,612.4709492,None,612.8390101,None,613.8720406,None,617.8768135,None,617.8768135,None,j,617.8768135,None,618.4742388,None,0.543252685,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,58,58,50,0.032184916,2.032184916,620.942501,None,621.7437239,None,622.7428402,None,626.1495147,None,626.1495147,None,f,626.1495147,None,626.7972339,None,0.601028331,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,59,59,64,0.03210151,2.03210151,629.2963635,None,630.0985381,None,631.1305267,None,635.6374756,None,635.6374756,None,j,635.6374756,None,636.3997027,None,0.699255211,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,0,60,60,35,0.032118727,2.032118727,638.8676444,None,640.0708619,None,641.102074,None,645.6088789,None,645.6088789,None,j,645.6088789,None,646.421166,None,0.758269627,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,61,61,7,0.032114146,2.032114146,648.8890006,None,649.6918921,None,650.7231451,None,654.7295927,None,654.7295927,None,f,654.7295927,None,655.5437662,None,0.765393373,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
