ID,group,type,count
31,deduction,Miss,0
31,deduction,CR,0
31,deduction,S,4
31,deduction,N,4
32,deduction,Hits,3
32,deduction,FA,1
32,deduction,Miss,1
32,deduction,CR,3
32,deduction,S,4
32,deduction,N,4
33,deduction,Hits,3
33,deduction,FA,1
33,deduction,Miss,1
33,deduction,CR,3
33,deduction,S,4
33,deduction,N,4
34,deduction,Hits,4
34,deduction,FA,0
34,deduction,Miss,0
34,deduction,CR,4
34,deduction,S,4
34,deduction,N,4
35,deduction,Hits,3
35,deduction,FA,0
35,deduction,Miss,1
35,deduction,CR,4
35,deduction,S,4
35,deduction,N,4
36,deduction,Hits,4
36,deduction,FA,0
36,deduction,Miss,0
36,deduction,CR,4
36,deduction,S,4
36,deduction,N,4
37,deduction,Hits,4
37,deduction,FA,0
37,deduction,Miss,0
37,deduction,CR,4
37,deduction,S,4
37,deduction,N,4
38,deduction,Hits,4
38,deduction,FA,0
38,deduction,Miss,0
38,deduction,CR,4
38,deduction,S,4
38,deduction,N,4
39,deduction,Hits,4
39,deduction,FA,0
39,deduction,Miss,0
39,deduction,CR,4
39,deduction,S,4
39,deduction,N,4
40,deduction,Hits,4
40,deduction,FA,2
40,deduction,Miss,0
40,deduction,CR,2
40,deduction,S,4
40,deduction,N,4
