cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
right,right,,,,,0,25,25,25,0.03200529000014285,2.032005290000143,320.36679078099996,None,320.4691337510003,None,321.50059965100036,None,326.00731669800007,None,326.00731669800007,None,j,326.00731669800007,None,326.78636609700015,None,0.7031123490000937,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,26,26,63,0.032089012999676925,2.032089012999677,329.2541828940002,None,330.05634216800036,None,331.0885460300001,None,334.4945612780002,None,334.4945612780002,None,j,334.4945612780002,None,335.21277580700007,None,0.6624604220000947,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,27,27,10,0.03211929300050542,2.0321192930005054,337.7083196560002,None,338.07608900000014,None,339.07542688600006,None,342.4818143960001,None,342.4818143960001,None,f,342.4818143960001,None,343.1276182300003,None,0.5986355770000955,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,28,28,43,0.032092194999677304,2.0320921949996773,345.5940667,None,346.7973787840001,None,347.79638207900007,None,351.2025717880001,None,351.2025717880001,None,f,351.2025717880001,None,351.9315445670004,None,0.6588991400003579,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,29,29,53,0.032117248000304244,2.0321172480003042,354.399541407,None,354.7683220170002,None,355.8003780060003,None,360.80654838500004,None,360.80654838500004,None,f,360.80654838500004,None,361.5194642780002,None,0.6497466420000819,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,30,30,55,0.032039130000157456,2.0320391300001575,363.98607946300035,None,365.18644505400016,None,366.220333923,None,371.2284741610001,None,371.2284741610001,None,f,371.2284741610001,None,371.8931458860002,None,0.6238631899996108,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,right,,,,,0,31,31,33,0.032079618999887316,2.0320796189998873,374.3923794360003,None,374.494521611,None,375.52619875100027,None,379.5327904330002,None,379.5327904330002,None,j,379.5327904330002,None,380.5141302740003,None,0.9437082439999358,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,32,32,52,0.03207308400033071,2.0320730840003307,383.012962366,None,383.380774534,None,384.41375951300006,None,389.420656969,None,389.420656969,None,f,389.420656969,None,390.1164902620003,None,0.649637502999667,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,33,33,2,0.03197758900023473,2.0319775890002347,392.5843127420003,None,392.95368904099996,None,393.9849002440001,None,397.3913179000001,None,397.3913179000001,None,f,397.3913179000001,None,398.0868482840001,None,0.6190436700003374,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,34,34,46,0.032087410999793065,2.032087410999793,400.5542396390001,None,401.35720674799995,None,402.3888871430004,None,407.395929885,None,407.395929885,None,j,407.395929885,None,408.2083217270001,None,0.7581620870000734,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
