cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
left,left,,,,,0,68,68,13,0.014642729991464876,1.0146427299914649,652.1686396000005,None,652.9746311000054,None,653.9740586999978,None,658.9864036000072,None,658.9864036000072,None,f,658.9864036000072,None,659.4691022000043,None,0.459960799998953,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,left,,,,,0,69,69,1,0.014485729989246465,1.0144857299892465,660.943697499999,None,661.0510668000061,None,662.050112900004,None,667.0626328999933,None,667.0626328999933,None,f,667.0626328999933,None,667.4954810000054,None,0.41331560000253376,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
right,right,,,,,0,70,70,20,0.01473322999663651,1.0147332299966365,668.9706147999968,None,669.0775817999966,None,670.0763777999964,None,674.5893197999976,None,674.5893197999976,None,j,674.5893197999976,None,674.9722719999991,None,0.3523669999995036,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,left,,,,,0,71,71,7,0.014612830011174083,1.014612830011174,676.4466657000012,None,677.2537013999972,None,678.252493299995,None,682.7659110999957,None,682.7659110999957,None,f,682.7659110999957,None,683.0985106000007,None,0.31122939998749644,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
right,left,,,,,0,72,72,38,0.014885529992170632,1.0148855299921706,684.5732486000052,None,684.6802363000024,None,685.6795720999944,None,689.0934811000043,None,689.0934811000043,None,j,689.0934811000043,None,689.609533099996,None,0.49589069999638014,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,73,73,53,0.01432282998575829,1.0143228299857583,691.0853487999993,None,691.1914690999984,None,692.1903985999961,None,695.6045404000033,None,695.6045404000033,None,f,695.6045404000033,None,696.0870032999956,None,0.46119309999630786,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,left,,,,,0,74,74,12,0.014630429985118099,1.014630429985118,697.5620386999944,None,697.6690253999986,None,698.6681880999968,None,702.081929699998,None,702.081929699998,None,f,702.081929699998,None,702.6646141999954,None,0.5568110000021989,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,75,75,44,0.013368529980652966,1.013368529980653,704.141028900005,None,704.9461587999976,None,705.9452196000057,None,709.9584113000019,None,709.9584113000019,None,f,709.9584113000019,None,710.3079463000031,None,0.322174000000814,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,76,76,54,0.013327830005437136,1.0133278300054371,711.7848621000012,None,712.9890116000024,None,713.9880221000058,None,718.0014756000019,None,718.0014756000019,None,j,718.0014756000019,None,718.3013386999955,None,0.278196699990076,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,77,77,49,0.013582729996414855,1.0135827299964149,719.7763763999974,None,720.9820577000064,None,721.9811687000038,None,726.4940328999946,None,726.4940328999946,None,j,726.4940328999946,None,726.8437795000063,None,0.3219865999999456,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
