trial,ID,cue,direction,response,rt,choice,correct,condition,mean_C,sd_C,trial_type
806,kaja,none,left,1,0.9666748999734408,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
807,kaja,right,left,0,0.5445218000095338,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
808,kaja,right,right,1,0.5890004999819212,right,1,valid,0.7345113326619624,0.2437698370620411,OK
809,kaja,right,left,0,0.6194454999640584,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
810,kaja,none,right,0,0.9975476000108756,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
811,kaja,none,left,0,0.8716467999620363,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
812,kaja,right,right,0,0.9528583000064828,left,0,valid,0.7345113326619624,0.2437698370620411,OK
813,kaja,right,right,1,0.7293695000116713,right,1,valid,0.7345113326619624,0.2437698370620411,OK
814,kaja,none,right,0,0.9311479000025428,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
815,kaja,none,right,1,0.7920230000163428,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
816,kaja,left,left,0,0.8223838999983855,left,1,valid,0.7345113326619624,0.2437698370620411,OK
817,kaja,left,left,0,0.8503005999955349,left,1,valid,0.7345113326619624,0.2437698370620411,OK
818,kaja,right,right,1,0.7118435999727808,right,1,valid,0.7345113326619624,0.2437698370620411,OK
819,kaja,right,right,0,0.8656649999902584,left,0,valid,0.7345113326619624,0.2437698370620411,OK
820,kaja,none,right,1,0.7139455999713391,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
821,kaja,right,right,1,1.061508999962825,right,1,valid,0.7345113326619624,0.2437698370620411,OK
822,kaja,none,right,0,0.6359948000172153,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
823,kaja,none,right,0,0.7604305999702774,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
824,kaja,left,right,0,0.7935995000298135,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
825,kaja,none,left,0,0.8447619000216946,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
826,kaja,right,left,1,0.8591478000162169,right,0,invalid,0.7537437478937564,0.24844249026586113,OK
827,kaja,left,left,0,0.956652100023348,left,1,valid,0.7345113326619624,0.2437698370620411,OK
828,kaja,left,left,0,0.9538212000043133,left,1,valid,0.7345113326619624,0.2437698370620411,OK
829,kaja,right,right,0,0.8183234999887645,left,0,valid,0.7345113326619624,0.2437698370620411,OK
830,kaja,right,right,1,1.1429117000079714,right,1,valid,0.7345113326619624,0.2437698370620411,OK
831,kaja,none,left,0,0.7038928000256419,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
832,kaja,left,right,0,0.5786136999959126,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
833,kaja,none,left,0,0.776231599971652,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
834,kaja,left,left,0,0.767119999974966,left,1,valid,0.7345113326619624,0.2437698370620411,OK
835,kaja,none,left,0,0.691036400035955,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
836,kaja,none,right,1,0.7418192999903113,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
837,kaja,none,right,1,0.7621882000239566,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
838,kaja,none,right,0,0.926924599974882,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
839,kaja,none,left,0,0.6382359000272118,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
840,kaja,left,left,0,0.6390572999953292,left,1,valid,0.7345113326619624,0.2437698370620411,OK
841,kaja,right,right,1,0.5205178000032902,right,1,valid,0.7345113326619624,0.2437698370620411,OK
842,kaja,none,left,0,0.6378351000021212,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
843,kaja,left,left,0,0.5788519000052474,left,1,valid,0.7345113326619624,0.2437698370620411,OK
844,kaja,left,left,1,1.13683500001207,right,0,valid,0.7345113326619624,0.2437698370620411,OK
845,kaja,none,left,0,0.5808035000227392,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
846,kaja,none,right,0,0.9213060999754816,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
847,kaja,left,right,0,0.8725123999756761,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
848,kaja,none,right,1,0.5409456000197679,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
849,kaja,none,left,0,0.485007899987977,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
850,kaja,none,right,0,0.5728296000161208,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
851,kaja,left,left,0,0.5733157000504434,left,1,valid,0.7345113326619624,0.2437698370620411,OK
852,kaja,none,right,1,0.665055499994196,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
853,kaja,left,left,0,0.9285955000086688,left,1,valid,0.7345113326619624,0.2437698370620411,OK
854,kaja,right,right,0,0.6474669000017457,left,0,valid,0.7345113326619624,0.2437698370620411,OK
855,kaja,none,left,1,0.37118670000927517,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
856,kaja,none,left,0,0.578120999969542,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
857,kaja,left,left,0,0.5593925000284798,left,1,valid,0.7345113326619624,0.2437698370620411,OK
858,kaja,left,left,0,0.6436968999914825,left,1,valid,0.7345113326619624,0.2437698370620411,OK
859,kaja,none,left,0,0.6543680999893695,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
860,kaja,right,left,1,0.6888906999956816,right,0,invalid,0.7537437478937564,0.24844249026586113,OK
861,kaja,right,right,1,0.26435230002971366,right,1,valid,0.7345113326619624,0.2437698370620411,OK
862,kaja,right,right,1,0.4710870999842882,right,1,valid,0.7345113326619624,0.2437698370620411,OK
863,kaja,left,right,0,0.5387644000002183,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
864,kaja,none,right,0,0.5733945000101812,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
865,kaja,none,left,0,0.6613631999935023,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
866,kaja,none,left,0,0.6285416000173427,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
867,kaja,none,left,1,0.886827899958007,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
868,kaja,left,right,0,0.549759199959226,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
869,kaja,right,right,1,0.5704157000291161,right,1,valid,0.7345113326619624,0.2437698370620411,OK
870,kaja,none,right,0,0.5119572000112385,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
871,kaja,right,left,0,0.5598047000239603,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
872,kaja,right,left,0,0.530875800002832,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
873,kaja,left,left,0,0.8881237999885343,left,1,valid,0.7345113326619624,0.2437698370620411,OK
874,kaja,none,left,1,0.7498533999896608,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
875,kaja,none,left,0,0.5743183000013232,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
876,kaja,none,right,0,0.6618028999655508,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
877,kaja,left,left,0,0.6096535999677144,left,1,valid,0.7345113326619624,0.2437698370620411,OK
878,kaja,left,left,0,0.5642367000109516,left,1,valid,0.7345113326619624,0.2437698370620411,OK
879,kaja,left,left,1,0.8481602999963798,right,0,valid,0.7345113326619624,0.2437698370620411,OK
880,kaja,left,left,0,0.7419550999766216,left,1,valid,0.7345113326619624,0.2437698370620411,OK
881,kaja,none,right,0,0.5861004999605939,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
882,kaja,none,left,0,0.8576347000198439,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
883,kaja,left,left,0,0.701601600041613,left,1,valid,0.7345113326619624,0.2437698370620411,OK
884,kaja,none,right,1,0.7428587000467815,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
885,kaja,right,right,0,0.7741508000181057,left,0,valid,0.7345113326619624,0.2437698370620411,OK
886,kaja,none,right,0,0.8152273999876343,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
887,kaja,right,right,0,1.099599999957718,left,0,valid,0.7345113326619624,0.2437698370620411,OK
888,kaja,none,left,0,0.8603102000197396,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
889,kaja,right,right,1,0.34734380000736564,right,1,valid,0.7345113326619624,0.2437698370620411,OK
890,kaja,left,left,0,0.5879340000101365,left,1,valid,0.7345113326619624,0.2437698370620411,OK
891,kaja,left,right,0,0.6096406999859028,left,0,invalid,0.7537437478937564,0.24844249026586113,OK
892,kaja,right,right,0,0.5977547999937087,left,0,valid,0.7345113326619624,0.2437698370620411,OK
893,kaja,right,left,0,0.6784294999670237,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
894,kaja,right,right,1,0.6997241000062786,right,1,valid,0.7345113326619624,0.2437698370620411,OK
895,kaja,left,left,0,0.7503674000035971,left,1,valid,0.7345113326619624,0.2437698370620411,OK
896,kaja,none,right,1,0.6318046000087634,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
897,kaja,none,right,1,0.938353100034874,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
898,kaja,none,right,0,0.74088950001169,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
899,kaja,left,right,1,0.6547284999978729,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
900,kaja,left,left,0,0.8215707000344992,left,1,valid,0.7345113326619624,0.2437698370620411,OK
901,kaja,left,left,0,0.6793580999947153,left,1,valid,0.7345113326619624,0.2437698370620411,OK
902,kaja,none,left,1,0.8775705000152811,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
903,kaja,none,left,0,0.5485613999771886,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
904,kaja,right,right,1,0.6224895999766886,right,1,valid,0.7345113326619624,0.2437698370620411,OK
905,kaja,none,right,0,0.6607339000329375,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
906,kaja,none,left,1,0.898103000014089,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
907,kaja,none,left,0,0.5689631000277586,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
908,kaja,right,right,1,0.680903300002683,right,1,valid,0.7345113326619624,0.2437698370620411,OK
909,kaja,right,right,0,0.5585859999991953,left,0,valid,0.7345113326619624,0.2437698370620411,OK
910,kaja,right,right,1,0.8056942999828607,right,1,valid,0.7345113326619624,0.2437698370620411,OK
911,kaja,none,left,0,0.5289395999861881,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
912,kaja,none,right,1,0.6471897999872454,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
913,kaja,none,right,0,0.587880100007169,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
