trial,ID,cue,direction,response,rt,choice,correct,condition
84,NS,none,right,1,1.1297445809998408,right,1,neutral
85,NS,none,left,1,0.7158248179998736,right,0,neutral
86,NS,none,right,1,0.6621085529998254,right,1,neutral
87,NS,none,left,0,0.6193114409998088,left,1,neutral
88,NS,right,right,1,0.4517592279999008,right,1,valid
89,NS,none,left,0,0.6592045190000135,left,1,neutral
90,NS,right,right,1,0.3916847150001104,right,1,valid
91,NS,none,right,1,1.0717276979999042,right,1,neutral
92,NS,right,right,1,0.4998282470000958,right,1,valid
93,NS,none,left,0,0.7195824170000833,left,1,neutral
94,NS,none,left,1,1.1118644810001117,right,0,neutral
95,NS,left,right,0,0.7007373010001174,left,0,invalid
96,NS,right,right,1,0.5834631469999749,right,1,valid
97,NS,left,left,0,0.6076301909999984,left,1,valid
98,NS,none,left,1,0.789957202999858,right,0,neutral
99,NS,none,left,0,0.6910092830000849,left,1,neutral
100,NS,none,left,1,0.7996258949999628,right,0,neutral
101,NS,right,right,1,1.0448598649998075,right,1,valid
102,NS,left,right,1,0.9694580060001954,right,1,invalid
103,NS,left,left,0,0.6341781789999459,left,1,valid
104,NS,right,right,1,0.4780795870001384,right,1,valid
105,NS,left,left,0,0.6643843790000119,left,1,valid
106,NS,none,right,1,0.6685673049998968,right,1,neutral
107,NS,left,left,0,0.9945914820000326,left,1,valid
108,NS,left,left,1,0.6324595080000108,right,0,valid
109,NS,none,left,1,0.710818879000044,right,0,neutral
110,NS,none,left,0,0.6807441350001682,left,1,neutral
111,NS,left,left,1,1.1444104150000385,right,0,valid
112,NS,right,right,1,0.6101371519998793,right,1,valid
113,NS,left,left,0,0.5610764059999838,left,1,valid
114,NS,none,left,1,0.49786063900000954,right,0,neutral
115,NS,none,right,1,0.7540375989999575,right,1,neutral
116,NS,right,left,1,1.262577543000134,right,0,invalid
117,NS,right,right,1,0.6797799169999053,right,1,valid
118,NS,right,left,0,0.9415808740000102,left,1,invalid
119,NS,none,left,1,0.6175192630000765,right,0,neutral
120,NS,left,left,0,0.5321258320000197,left,1,valid
