subject,imagery,signal_present,correct,rt
2,0,1,0,0.343
2,0,0,1,0.458
2,0,0,1,0.33899999999976715
2,0,1,1,0.106
2,0,1,0,0.3130000000002328
2,1,1,0,0.6230000000002328
2,1,0,1,5.093
2,1,1,0,0.7940000000002329
2,1,1,0,0.413
2,1,1,1,0.844
2,1,0,1,0.36500000000023275
2,1,1,0,0.348
2,1,1,1,0.433
2,1,0,1,0.423
2,1,0,1,0.396
2,1,1,0,0.538
2,1,0,1,0.783
2,1,1,0,12.366999999999766
2,1,0,1,1.785
2,1,1,0,0.7779999999997672
2,1,0,1,0.845
2,1,0,1,1.122
2,1,0,1,1.943
2,1,1,1,0.878
2,1,1,0,0.7929999999997672
2,1,0,1,0.8439999999997672
2,1,0,1,6.587
2,1,1,0,0.725
2,1,0,1,0.356
2,0,0,1,1.399
2,0,0,1,0.902
2,0,1,0,0.372
2,0,0,1,0.913
2,0,1,0,0.7169999999997672
2,0,1,1,0.36200000000023275
2,0,1,0,0.607
2,0,1,0,0.291
2,0,0,1,0.359
2,0,0,1,0.6880000000002329
2,0,1,0,0.681
2,0,0,1,0.6569999999997672
2,0,1,1,0.5849999999997672
2,0,0,1,0.704
2,0,1,1,0.364
2,0,0,1,0.392
2,0,1,1,0.345
2,0,1,0,0.101
2,0,0,1,0.376
2,0,1,0,0.38
2,0,0,1,0.317
2,0,1,0,0.432
2,0,0,1,0.3919999999997672
2,0,0,1,0.348
2,1,1,0,1.07
2,1,1,0,0.36600000000023275
2,1,1,0,0.401
2,1,1,0,0.339
2,1,0,1,0.326
2,1,1,0,0.243
2,1,0,1,0.272
2,1,0,1,0.34700000000023284
2,1,0,1,0.3019999999997672
2,1,1,0,0.316
2,1,1,0,0.687
2,1,0,0,0.902
2,1,0,1,0.396
2,1,1,0,0.435
2,1,0,1,0.409
2,1,1,0,0.35
2,1,0,1,0.364
2,1,0,1,0.636
2,1,1,1,0.5170000000004656
2,1,0,1,0.3220000000002328
2,1,0,1,0.8610000000004656
2,1,0,0,0.5269999999995343
2,1,1,0,0.538
2,1,1,0,1.619000000000233
2,0,1,0,0.3209999999997672
2,0,1,1,0.5550000000002329
2,0,0,1,0.27599999999976715
2,0,0,0,0.379
2,0,0,1,0.28100000000046566
2,0,1,0,0.345
2,0,0,1,0.415
2,0,1,1,0.257
2,0,0,1,0.655
2,0,0,1,0.395
2,0,0,1,0.374
2,0,1,0,0.605
2,0,0,1,0.321
2,0,1,1,0.528
2,0,1,1,0.319
