subject,condition,signal_present,correct,rt,trial_num
6,bias,0,1,0.7416250000093132,78
6,bias,1,1,0.7092050000065938,79
6,bias,0,1,0.6426649999925866,80
6,bias,0,1,1.0383549999976531,81
6,bias,1,1,0.6722149999989196,82
6,bias,1,1,0.6351050000078976,83
6,bias,0,1,1.329219999998808,84
6,bias,1,1,0.5096799999875948,85
6,bias,0,1,0.5547150000054389,86
6,bias,0,0,0.24631000000238415,87
6,bias,1,1,0.7618349999971687,88
6,bias,1,1,1.9869550000010057,89
6,bias,0,1,2.031484999999404,90
6,bias,1,1,0.3687250000080094,91
6,bias,1,1,0.2104499999983236,92
6,bias,1,0,1.003745000009425,93
6,bias,0,1,0.8924250000128523,94
6,bias,1,1,0.6354299999950453,95
6,bias,0,1,0.6671300000017509,96
6,no_bias,1,1,3.3895699999993667,49
6,no_bias,0,1,0.5942950000017881,50
6,no_bias,1,1,0.9331150000067427,51
6,no_bias,1,1,0.8409600000008941,52
6,no_bias,1,1,1.098144999996759,53
6,no_bias,0,1,7.6461299999943,54
6,no_bias,0,0,0.7366749999923632,55
6,no_bias,1,1,0.5090150000033901,56
6,no_bias,0,1,0.9560499999932944,57
6,no_bias,0,1,1.4091137500000186,58
6,no_bias,0,1,1.5645150000052528,59
6,no_bias,0,1,1.8549000000059608,60
6,no_bias,0,1,0.7068600000059232,61
6,no_bias,1,1,0.6415149999959394,62
6,no_bias,0,1,0.8881600000029429,63
6,no_bias,0,1,0.5620099999941885,64
6,no_bias,0,1,0.7407300000051037,65
