id,angle,rt,accuracy
13,50,2664,1
13,100,2674,1
13,0,1310,1
13,0,1301,1
13,150,4461,1
13,100,4564,1
13,50,1848,1
13,100,3556,1
13,150,3159,1
13,0,1482,1
13,100,2469,0
13,150,5339,1
13,0,1401,1
13,50,1865,1
13,150,1954,1
13,0,1366,1
13,100,1670,1
13,150,1541,0
13,50,1403,1
13,100,2926,1
13,0,1562,1
13,50,2406,1
13,100,1706,1
13,150,1716,1
13,0,1104,1
13,0,1406,1
13,100,2073,1
13,50,1560,1
13,150,1861,0
13,50,1014,1
13,150,2038,1
13,100,1327,1
13,150,2725,1
13,100,1884,1
13,0,2171,1
13,0,779,1
13,50,2106,1
13,50,1700,1
13,150,1413,1
13,0,1239,1
13,150,2069,1
13,0,935,1
13,50,1192,1
13,50,1334,1
13,100,2140,1
13,100,2842,1
13,100,2444,1
13,100,1724,1
13,150,3178,1
13,0,1580,1
13,0,842,1
13,50,2052,1
13,50,898,1
13,150,1649,0
13,50,2090,1
13,0,1106,1
13,150,1946,1
13,50,2308,1
13,100,1540,1
13,0,1288,1
13,150,3400,1
13,100,1884,1
13,100,2661,1
13,50,1730,1
13,0,885,1
13,150,2919,1
13,150,2844,1
13,50,1494,1
13,100,1343,1
13,0,1667,1
14,0,2463,1
14,150,2221,0
14,150,1269,1
14,100,4574,0
14,50,3313,1
14,50,1958,1
14,100,1941,0
14,0,1025,1
14,150,1828,0
14,150,1764,1
14,50,1857,1
14,0,1229,1
14,0,1216,1
14,100,1766,0
14,100,1527,1
14,50,2082,1
14,100,1813,0
14,150,1849,1
14,50,1619,0
14,50,2363,0
14,100,1959,1
14,0,1482,1
14,0,1218,1
14,150,1605,0
14,150,1445,1
14,50,1760,1
14,50,2003,0
14,100,2182,0
14,0,1353,1
14,0,1357,1
14,150,2082,1
14,100,2227,0
14,50,1901,1
14,100,2362,0
14,150,1465,0
14,0,1711,1
14,100,1861,0
14,150,2311,0
14,0,1118,1
14,50,875,1
14,150,1123,1
14,0,1031,1
14,100,1491,1
14,150,1242,0
14,50,906,1
14,100,1206,0
14,0,1009,1
14,50,1634,1
14,100,1564,0
14,150,1541,0
14,0,1528,1
14,0,1182,1
14,100,1469,1
14,50,984,1
14,150,1583,0
14,50,1519,1
14,150,805,1
14,100,1265,0
14,150,1386,1
14,100,1256,1
14,0,811,1
14,0,613,1
14,50,769,1
14,50,1644,1
14,150,2092,1
14,0,1004,1
14,150,1623,1
14,0,1448,1
14,50,1170,1
14,50,1277,1
14,100,1579,1
14,100,2306,1
14,100,1460,1
14,100,2511,1
14,150,1670,0
14,0,1908,1
14,0,856,1
14,50,2949,0
14,50,1526,1
14,150,2380,0
14,50,1449,0
14,0,672,1
14,150,2108,1
14,50,1914,1
14,100,1751,1
14,0,1347,1
14,150,1554,1
14,100,2495,1
14,100,1606,0
14,50,1030,1
14,0,737,1
14,150,2870,1
14,150,1754,1
14,50,1488,1
14,100,1049,1
14,0,1248,0
15,0,5886,1
15,150,NA,0
15,150,3587,1
15,100,4741,1
15,50,4308,1
15,50,4600,1
15,100,4659,1
15,0,2168,1
15,150,6136,1
15,150,4123,1
15,50,4668,1
15,0,3544,1
15,0,1580,1
15,100,4001,1
15,100,3693,1
15,50,3868,1
15,100,5792,1
15,150,3972,1
15,50,4433,1
15,50,1939,1
15,100,6419,1
15,0,1827,1
15,0,2284,1
15,150,NA,0
15,150,6483,1
15,50,4656,1
15,50,3650,1
15,100,2933,1
15,0,1605,1
15,0,4389,1
15,150,5614,1
15,100,4030,1
15,50,4792,1
15,100,3618,1
15,150,4231,1
15,0,2944,1
15,100,5376,1
15,150,2321,1
15,0,1961,1
15,50,5148,1
15,150,3643,1
15,0,2922,1
15,100,5417,0
15,150,6400,1
15,50,5763,1
15,100,NA,0
15,0,1618,1
15,50,2488,1
15,100,2156,1
15,150,3138,1
15,0,1533,1
15,0,3359,1
15,100,4526,1
15,50,2280,1
15,150,5223,1
15,50,2710,1
15,150,3109,1
15,100,3676,1
15,150,2491,1
15,100,3689,1
15,0,1253,1
15,0,2246,1
15,50,2633,1
15,50,1746,1
15,150,1992,1
15,0,2135,1
15,150,NA,0
15,0,1888,1
15,50,6146,1
15,50,2516,1
15,100,5021,1
15,100,3840,1
15,100,2673,1
15,100,3743,1
15,150,4433,0
15,0,2680,1
15,0,1815,1
15,50,4450,0
15,50,2617,1
15,150,5508,1
15,50,5317,1
15,0,1318,1
15,150,7011,1
15,50,3340,1
15,100,3838,1
15,0,2366,1
15,150,5941,1
15,100,3870,1
15,100,6052,1
15,50,1654,1
15,0,987,1
15,150,6955,1
15,150,4560,1
15,50,3625,1
15,100,1651,1
15,0,6216,0
16,0,1683,1
16,150,1719,1
16,150,2020,1
16,100,1888,1
16,50,1518,1
16,50,1723,1
16,100,2488,1
16,0,1245,1
16,150,1895,1
16,150,2022,0
16,50,3031,1
16,0,1675,1
16,0,1024,1
16,100,3068,1
16,100,1827,1
16,50,1468,1
16,100,1918,1
16,150,3701,1
16,50,2197,1
16,50,1655,1
16,100,3158,1
16,0,2706,1
16,0,1000,1
16,150,1918,1
16,150,2969,0
16,50,2115,1
16,50,2460,0
16,100,2350,0
16,0,983,1
16,0,1342,1
16,150,3769,0
16,100,1723,1
16,50,1990,0
16,100,2810,1
16,150,2350,0
16,0,2055,0
16,100,2844,0
16,150,2714,1
16,0,1084,1
16,50,1058,1
16,150,2713,1
16,0,1023,1
16,100,2770,1
16,150,2413,1
16,50,1506,1
16,100,2622,0
16,0,1159,1
16,50,1901,1
16,100,1610,1
16,150,1973,1
16,0,1078,1
16,0,1024,1
16,100,3017,0
16,50,1553,1
16,150,2951,1
16,50,1729,1
16,150,994,1
16,100,3067,1
16,150,2131,1
16,100,2617,1
16,0,1692,1
16,0,738,1
16,50,984,1
16,50,1461,1
16,150,2092,1
16,0,1314,1
16,150,3407,1
16,0,1092,1
16,50,2532,1
16,50,2288,1
16,100,2798,1
16,100,1515,1
16,100,1993,1
16,100,2475,1
16,150,2058,1
16,0,2435,1
16,0,1248,1
16,50,3893,0
16,50,1624,0
16,150,3827,1
16,50,3595,0
16,0,928,1
16,150,2735,1
16,50,2269,1
16,100,2677,0
16,0,4197,1
16,150,2393,1
16,100,2492,1
16,100,2210,1
16,50,3307,1
16,0,1041,1
16,150,1620,1
16,150,4554,1
16,50,1665,1
16,100,2781,1
16,0,4134,1
17,0,2443,1
17,150,5888,1
17,150,3670,1
17,100,4012,0
17,50,2902,1
17,50,3120,1
17,100,5431,1
17,0,1226,1
17,150,5480,1
17,150,4745,1
17,50,4690,1
17,0,2772,1
17,0,1265,1
17,100,2392,1
17,100,4716,1
17,50,3418,1
17,100,2654,1
17,150,2112,1
17,50,2702,1
17,50,1637,1
17,100,2109,1
17,0,884,0
17,0,1795,1
17,150,4023,1
17,150,5980,1
17,50,2026,1
